TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3
f013677,여,30,50,50110,42,42150,45,45110,1,1,1,2,4,3,1,7,인천광역시,경북,2023-08-29~2023-08-30,8,3.0,2.0
f013407,여,20,50,50130,42,42150,26,26110,3,2,3,3,4,6,1,7,경기도,강원,2023-09-08~2023-09-08,2,3.0,1.0
f004732,남,20,50,50110,50,50130,42,42150,1,1,1,6,1,1,7,6,서울특별시,경남,2023-08-02~2023-08-03,7,1.0,2.0
f016488,여,20,26,26500,26,26230,47,47130,4,3,4,2,2,4,5,6,경상남도,경남,2023-09-09~2023-09-09,7,1.0,3.0
f005281,남,30,27,27290,42,42150,47,47130,4,2,5,4,3,5,6,5,서울특별시,경북,2023-08-05~2023-08-06,1,3.0,2.0
f002554,남,20,50,50110,26,26350,11,11110,6,2,3,3,2,6,5,6,울산광역시,부산,2023-06-05~2023-06-06,3,2.0,5.0
f005863,남,30,50,50110,42,42150,26,26350,1,1,4,5,1,4,6,4,서울특별시,강원,2023-08-22~2023-08-23,2,1.0,3.0
f016683,여,20,50,50110,48,48860,47,47130,2,2,2,2,2,2,7,7,대구광역시,경북,2023-09-17~2023-09-17,2,1.0,6.0
f001960,여,30,48,48310,47,47130,27,27140,1,3,2,2,2,2,1,3,서울특별시,경북,2023-06-03~2023-06-03,7,1.0,3.0
f000799,남,40,28,28185,30,30200,41,41480,6,4,4,3,3,4,3,3,서울특별시,경남,2023-05-27~2023-05-28,1,8.0,2.0
f004706,여,20,42,42150,11,11710,26,26350,3,4,3,6,4,5,6,7,경기도,강원,2023-07-29~2023-07-29,10,7.0,8.0
f008442,남,20,42,42150,46,46130,26,26710,2,3,4,5,3,5,6,6,경상남도,부산,2023-08-19~2023-08-20,3,2.0,1.0
f002503,여,50,48,48310,47,47130,50,50110,4,1,3,4,7,4,1,7,경상남도,대구,2023-06-06~2023-06-07,3,7.0,1.0
f002485,남,60,46,46130,42,42230,44,44825,1,3,1,4,4,3,2,6,부산광역시,경남,2023-06-07~2023-06-08,3,2.0,10.0
f012380,남,30,11,11680,48,48120,26,26710,5,2,2,3,3,5,6,4,부산광역시,경북,2023-09-02~2023-09-03,1,2.0,3.0
f008594,여,30,50,50130,26,26470,42,42150,2,3,2,2,4,3,2,3,대구광역시,부산,2023-08-27~2023-08-27,1,,
f009168,여,40,47,47770,48,48310,43,43800,2,2,4,3,3,4,3,3,대구광역시,경북,2023-08-20~2023-08-20,2,1.0,6.0
f014380,여,20,26,26110,28,28110,42,42210,5,2,2,1,2,5,6,6,경기도,강원,2023-09-02~2023-09-02,7,3.0,1.0
f001881,여,30,48,48310,48,48120,48,48330,4,6,2,3,2,2,6,5,부산광역시,경남,2023-05-29~2023-05-29,3,1.0,10.0
f008892,여,20,47,47130,26,26500,47,47110,4,1,7,6,6,1,7,7,울산광역시,경북,2023-08-26~2023-08-27,1,4.0,3.0
