TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
g_g000773,G05,g000773,11;22;26,2023-05-27,2023-05-29,대중교통 등,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,11;22;26,11;22;26
g_g000775,G02,g000775,2;5;23;21;11;4;10;24;26,2023-05-27,2023-05-30,자가용,전라권 방문/호남권 외 거주/39세 이하/자녀동반/일반미션,2;5;23;21;11;4;10;24;26,23;9;2
g_g000776,G03,g000776,21;22;4,2023-05-27,2023-05-29,자가용,전라권 방문/호남권 거주/39세 이하/부모 동반/일반미션,21;22;4,2;21;22
g_g000777,G03,g000777,21;4;24;27,2023-05-25,2023-05-26,자가용,전라권 방문/호남권 거주/39세 이하/나홀로 여행/일반미션,21;4;24;27,4;27;21
g_g000779,G03,g000779,21;22;24;7,2023-06-02,2023-06-04,자가용,전라권 방문/호남권 거주/39세 이하/3인 이상 친구/일반미션,21;22;24;7,1;4;21
g_g000781,G06,g000781,11;2;22;3;9,2023-06-02,2023-06-05,자가용,충남 방문/거주지 구분 없음/39세 이하/특별미션,11;2;22;3;9,3;6;9
g_g000782,G02,g000782,13;27;4,2023-05-27,2023-05-28,자가용,전북 방문/거주지 구분 없음/39세 이하/특별미션,13;27;4,13;9;27
g_g000784,G03,g000784,22;24;26;4;6,2023-05-28,2023-05-29,자가용,전남 방문/거주지 구분 없음/39세 이하/특별미션,22;24;26;4;6,22;24;26
g_g000785,G04,g000785,1;22,2023-05-20,2023-05-21,자가용,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,1;22,1;22;24
g_g000786,G06,g000786,10;2;3;5;7,2023-06-09,2023-06-11,자가용,충청권 방문/충청권 외 거주/40세 이상/자녀동반/일반미션,10;2;3;5;7,10;9;12
g_g000788,G03,g000788,1;21;23;28;6,2023-06-03,2023-06-06,자가용,전남 방문/거주지 구분 없음/39세 이하/특별미션,1;21;23;28;6,9;21;22
g_g000789,G06,g000789,12;22;5,2023-06-09,2023-06-11,대중교통 등,충남 방문/거주지 구분 없음/39세 이하/특별미션,12;22;5,22;12;5
g_g000790,G05,g000790,22;5;6;8,2023-05-27,2023-05-30,자가용,충청권 방문/충청권 거주/39세 이하/자녀동반/일반미션,22;5;6;8,11;5;8
g_g000792,G05,g000792,1;3;6;9;22;13,2023-05-26,2023-05-29,자가용,충청권 방문/충청권 외 거주/39세 이하/3대 동반 여행/일반미션,1;3;6;9;22;13,9;3;6
g_g000794,G05,g000794,2;5;22;21,2023-05-25,2023-05-27,자가용,충청권 방문/충청권 거주/40세 이상/3인 이상 친구/일반미션,2;5;22;21,2;5;27
g_g000796,G03,g000796,2;21;22;3;9,2023-05-28,2023-05-29,자가용,전라권 방문/호남권 거주/39세 이하/커플/일반미션,2;21;22;3;9,24;27;21
g_g000804,G06,g000804,2;3;4;5;8,2023-06-02,2023-06-05,자가용,충청권 방문/충청권 외 거주/40세 이상/자녀동반/일반미션,2;3;4;5;8,8;11;2
g_g000807,G05,g000807,1;24;22;3;10;13;2;23,2023-06-04,2023-06-07,자가용,충북 방문/거주지 구분 없음/40세 이상/특별미션,1;24;22;3;10;13;2;23,10;13;2
g_g000808,G02,g000808,22;24;3;4,2023-05-22,2023-05-25,자가용,전라권 방문/호남권 외 거주/40세 이상/커플/일반미션,22;24;3;4,3;4;6
g_g000809,G06,g000809,13;21;22;23;24;10,2023-06-01,2023-06-03,자가용,충청권 방문/충청권 외 거주/40세 이상/커플/일반미션,13;21;22;23;24;10,10;24;21
g_g000812,G03,g000812,25;4,2023-06-10,2023-06-11,자가용,전남 방문/거주지 구분 없음/39세 이하/특별미션,25;4,4;25;22
g_g000815,G06,g000815,10;11;2;26,2023-05-27,2023-05-30,자가용,충청권 방문/충청권 외 거주/40세 이상/자녀동반/일반미션,10;11;2;26,10;11;26
g_g000818,G02,g000818,11;24;27;5;6,2023-06-01,2023-06-03,자가용,전라권 방문/호남권 외 거주/39세 이하/3대 동반 여행/일반미션,11;24;27;5;6,3;27;24
g_g000819,G02,g000819,24;27;6;8,2023-05-27,2023-05-30,자가용,전북 방문/거주지 구분 없음/40세 이상/특별미션,24;27;6;8,11;21;27
g_g000820,G06,g000820,21;6,2023-05-28,2023-05-30,자가용,충청권 방문/충청권 외 거주/40세 이상/자녀동반/일반미션,21;6,2;21;6
g_g000826,G02,g000826,11;22;3;5,2023-05-28,2023-05-30,자가용,전라권 방문/호남권 외 거주/39세 이하/자녀동반/일반미션,11;22;3;5,11;3;1
g_g000831,G03,g000831,11;2;3;6;9,2023-05-27,2023-05-30,자가용,전라권 방문/호남권 외 거주/39세 이하/자녀동반/일반미션,11;2;3;6;9,3;2;12
g_g000832,G02,g000832,8;1;22;1;8;8;8;8;8;8;8,2023-06-02,2023-06-05,자가용,전라권 방문/호남권 거주/39세 이하/3인 이상 친구/일반미션,8;1;22;1;8;8;8;8;8;8;8,8;22;1
g_g000834,G02,g000834,2;21;22;24;3,2023-05-26,2023-05-29,자가용,전라권 방문/호남권 거주/40세 이상/자녀동반/일반미션,2;21;22;24;3,3;6;26
